id,front,right,back,left,x,y,yaw
62,284,185,276,223,-1.3028616905212402,0.786082923412323,0.017211290076375008
63,285,182,272,227,-1.3581289052963257,0.8194392323493958,0.019531162455677986
64,282,183,275,222,-1.3915815353393555,0.8350284695625305,0.019154807552695274
65,284,187,271,225,-1.4053436517715454,0.8465557098388672,0.016360027715563774
66,282,187,271,223,-1.4303921461105347,0.8516095876693726,0.014614236541092396
67,285,189,275,222,-1.4510304927825928,0.8740391731262207,0.012968308292329311
68,287,188,273,218,-1.4622492790222168,0.9031667709350586,0.013041764497756958
69,284,190,274,218,-1.4980343580245972,0.912663459777832,0.012796768918633461
70,285,189,274,216,-1.5019359588623047,0.946503221988678,0.017224827781319618
71,285,189,274,214,-1.5319583415985107,0.9276809096336365,0.018648585304617882
72,285,189,278,218,-1.5534456968307495,0.9601901173591614,0.018780196085572243
73,289,185,276,220,-1.5722285509109497,0.9965963959693909,0.01596164144575596
74,288,185,272,220,-1.6154676675796509,0.9716806411743164,0.011731430888175964
75,288,184,277,221,-1.6284000873565674,1.0035247802734375,0.01559203676879406
76,289,188,276,220,-1.6497559547424316,1.0109062194824219,0.01206730492413044
77,288,189,272,221,-1.663176417350769,1.0268056392669678,0.018869733437895775
78,287,188,275,220,-1.7071597576141357,1.0540859699249268,0.0633542463183403
79,287,185,272,218,-1.717329740524292,1.0622196197509766,0.42230477929115295
80,287,187,274,221,-1.7323729991912842,1.0780435800552368,0.3331490755081177
81,288,185,274,228,-1.7862696647644043,1.0804845094680786,-0.04974495247006416
82,287,203,269,275,0.9383751749992371,-1.177498698234558,-0.45766761898994446
83,289,318,267,298,-0.21679550409317017,-3.027271270751953,-0.15786637365818024
84,284,371,263,314,3.2940914630889893,-2.9116687774658203,0.019128452986478806
85,283,416,269,338,5.691292762756348,-2.4640462398529053,0.05011347681283951
86,284,462,252,345,5.504971027374268,-3.7436110973358154,0.5280317068099976
87,277,488,247,342,5.238732814788818,-2.4644336700439453,0.8295262455940247
88,272,516,245,330,4.220190525054932,-3.4872074127197266,0.9030328989028931
89,275,551,270,318,3.4423842430114746,-2.7220096588134766,0.7502285838127136
90,278,574,269,312,3.1648590564727783,-2.404513120651245,0.2211015373468399
91,284,638,299,308,2.909958839416504,-2.981818437576294,-1.055959939956665
