id,front,right,back,left,x,y,yaw
2052,179,173,178,196,-0.059409040957689285,-0.047597095370292664,9.270885467529297
2053,179,172,178,196,-0.05885125324130058,-0.04845059663057327,9.505231857299805
2054,179,172,178,196,-0.05705898627638817,-0.04737208038568497,9.693185806274414
2055,174,172,178,196,-0.06085045635700226,-0.05769858881831169,9.980870246887207
2056,174,172,177,188,-0.05655766651034355,-0.04806143045425415,10.378987312316895
2057,174,172,177,188,-0.05566959083080292,-0.04881337285041809,10.901684761047363
2058,174,172,177,188,-0.05806853622198105,-0.0493178553879261,11.560866355895996
2059,183,172,177,188,-0.061656177043914795,-0.04805457964539528,11.825181007385254
2060,183,172,185,186,-0.059597618877887726,-0.04730461910367012,12.209403991699219
2061,183,169,185,186,-0.058847226202487946,-0.047350309789180756,12.489338874816895
2062,183,169,185,186,-0.05795006826519966,-0.04825720191001892,12.926091194152832
2063,175,169,185,186,-0.057254500687122345,-0.048883046954870224,13.206045150756836
2064,175,169,180,187,-0.059516724199056625,-0.056403812021017075,13.679678916931152
2065,175,32766,180,187,-0.06023963913321495,-0.05657925829291344,13.977703094482422
2066,175,32766,180,187,-0.0607033409178257,-0.04842698201537132,14.52019214630127
2067,182,32766,180,187,-0.05913342535495758,-0.04749583080410957,14.853480339050293
2068,182,32766,189,192,-0.05954751372337341,-0.048054300248622894,15.269896507263184
2069,182,159,189,192,-0.058914244174957275,-0.05104042589664459,15.462261199951172
2070,182,159,189,192,-0.06033436954021454,-0.050141703337430954,15.742167472839355
2071,176,159,189,192,-0.05950721353292465,-0.04899560660123825,15.953181266784668
2072,176,159,186,192,-0.060228995978832245,-0.04633645340800285,16.38762664794922
2073,176,161,186,192,-0.060290515422821045,-0.04613257199525833,16.631649017333984
2074,176,161,186,192,-0.06004318594932556,-0.04939866065979004,16.84586524963379
2075,180,161,186,192,-0.06229579821228981,-0.050596024841070175,17.07606315612793
2076,180,161,32766,194,-0.05980391055345535,-0.04900171980261803,17.60970687866211
2077,180,164,32766,194,-0.06148337572813034,-0.04638846218585968,18.121658325195312
2078,180,164,32766,194,-0.060889244079589844,-0.04699871689081192,18.67448616027832
2079,184,164,32766,194,-0.06136850267648697,-0.046663712710142136,18.92148780822754
2080,184,164,190,197,-0.05887898430228233,-0.044888000935316086,19.382308959960938
2081,184,160,190,197,-0.05722682178020477,-0.043696437031030655,19.789812088012695
2082,184,160,190,197,-0.056678686290979385,-0.042844466865062714,20.435026168823242
2083,188,160,190,197,-0.05526261776685715,-0.04192810505628586,20.72551918029785
2084,188,160,184,194,-0.054896775633096695,-0.04130014032125473,21.151100158691406
2085,188,169,184,194,-0.05364322289824486,-0.04035714641213417,21.429227828979492
2086,188,169,184,194,-0.05317721515893936,-0.039751674979925156,21.985422134399414
2087,185,169,184,194,-0.05240659788250923,-0.0390964150428772,22.248523712158203
2088,185,169,188,198,-0.05128076672554016,-0.03859741985797882,22.58164405822754
2089,185,32766,188,198,-0.050387490540742874,-0.038073424249887466,22.777732849121094
2090,185,32766,188,198,-0.048981405794620514,-0.03789682686328888,22.971044540405273
2091,187,32766,188,198,-0.048612259328365326,-0.03757983818650246,23.165719985961914
2092,187,32766,188,200,-0.04856688901782036,-0.03689781576395035,23.634233474731445
2093,187,161,188,200,-0.04800292104482651,-0.03694221377372742,23.883424758911133
2094,187,161,188,200,-0.047450315207242966,-0.03544752672314644,24.068504333496094
2095,184,161,188,200,-0.04714652895927429,-0.036840636283159256,24.177370071411133
2096,184,161,194,200,-0.04682278633117676,-0.03559403866529465,24.416057586669922
2097,184,177,194,200,-0.04708359017968178,-0.03629013150930405,24.528207778930664
2098,184,177,194,200,-0.047068968415260315,-0.03573726490139961,24.541973114013672
2099,180,177,194,200,-0.0468955896794796,-0.03580513596534729,24.559309005737305
2100,180,177,193,204,-0.04716593772172928,-0.03651857376098633,24.62615394592285
2101,180,161,193,204,-0.0470406748354435,-0.036694567650556564,24.697368621826172
2102,180,161,193,204,-0.046846166253089905,-0.03635886311531067,24.909805297851562
2103,190,161,193,204,-0.04692449793219566,-0.03594045341014862,25.055376052856445
2104,190,161,197,204,-0.04656925052404404,-0.03668476268649101,25.283191680908203
2105,190,185,197,204,-0.04715711623430252,-0.03705385699868202,25.41453742980957
2106,190,185,197,204,-0.04629204422235489,-0.03696468845009804,25.632858276367188
2107,193,185,197,204,-0.04607687518000603,-0.037133026868104935,25.921836853027344
2108,193,185,196,203,-0.04636124521493912,-0.03676766902208328,26.583436965942383
2109,193,162,196,203,-0.046224094927310944,-0.0369686484336853,26.92298698425293
2110,193,162,196,203,-0.04646855965256691,-0.03646553307771683,27.35013771057129
2111,196,162,196,203,-0.04624377563595772,-0.036858946084976196,27.701692581176758
2112,196,162,195,210,-0.04466935247182846,-0.03905775770545006,28.191669464111328
2113,196,165,195,210,-0.04503240808844566,-0.03905164822936058,28.55626106262207
2114,196,165,195,210,-0.04577150195837021,-0.03994069620966911,28.949420928955078
2115,197,165,195,210,-0.04562487080693245,-0.0399286225438118,29.126346588134766
2116,197,165,200,212,-0.04586569592356682,-0.040542859584093094,29.422454833984375
2117,197,169,200,212,-0.04596490040421486,-0.04122117534279823,29.720272064208984
2118,197,169,200,212,-0.04566117748618126,-0.04190925136208534,30.23284339904785
2119,32766,169,200,212,-0.04596097022294998,-0.04126020148396492,30.519664764404297
2120,32766,169,202,221,-0.04553914815187454,-0.04203465208411217,30.805076599121094
2121,32766,172,202,221,-0.044993821531534195,-0.04178120195865631,31.073625564575195
2122,32766,172,202,221,-0.044828712940216064,-0.042132969945669174,31.473739624023438
2123,198,172,202,221,-0.04454294592142105,-0.04270558804273605,31.65348243713379
2124,198,172,204,222,-0.0445898175239563,-0.04246802628040314,31.886640548706055
2125,198,176,204,222,-0.04409601166844368,-0.04234420135617256,32.03510665893555
2126,198,176,204,222,-0.043398644775152206,-0.042757000774145126,32.47114181518555
2127,197,176,204,222,-0.04284442961215973,-0.04309764876961708,32.76277542114258
2128,197,176,208,231,-0.037909261882305145,-0.04298275709152222,33.155338287353516
2129,197,179,208,231,-0.03838152065873146,-0.04197922348976135,33.38542175292969
2130,197,179,208,231,-0.03576306253671646,-0.04491238296031952,33.90265655517578
2131,199,179,208,231,-0.03496357798576355,-0.04544387757778168,34.19746017456055
2132,199,179,217,239,-0.03293399512767792,-0.04530350863933563,34.53127670288086
2133,199,177,217,239,-0.03338968753814697,-0.04622449725866318,34.76856994628906
2134,199,177,217,239,-0.033892352133989334,-0.048460815101861954,35.17853927612305
2135,200,177,217,239,-0.03359005227684975,-0.04807163029909134,35.34495544433594
2136,200,177,213,241,-0.03305038809776306,-0.04877986013889313,35.68511962890625
2137,200,186,213,241,-0.032573677599430084,-0.04930253326892853,36.01420593261719
2138,200,186,213,241,-0.03287516161799431,-0.05006318539381027,36.48407745361328
2139,205,186,213,241,-0.034049078822135925,-0.05013188719749451,36.69328689575195
2140,205,186,214,245,-0.034477125853300095,-0.0509558729827404,37.06065368652344
2141,205,187,214,245,-0.03433318808674812,-0.0514623261988163,37.36867904663086
2142,205,187,214,245,-0.03461349010467529,-0.05220603942871094,37.82946014404297
2143,207,187,214,245,-0.03563053905963898,-0.05135606974363327,38.16168212890625
2144,207,187,216,241,-0.03648814558982849,-0.05063167214393616,38.58252716064453
2145,207,189,216,241,-0.0350528322160244,-0.051515672355890274,38.74313735961914
2146,207,189,216,241,-0.03694961592555046,-0.04889148101210594,38.98488998413086
2147,214,189,216,241,-0.037237152457237244,-0.048214059323072433,39.198482513427734
2148,214,189,215,245,-0.03722193464636803,-0.047781575471162796,39.76737594604492
2149,214,191,215,245,-0.03649282455444336,-0.04746958985924721,40.21220397949219
2150,214,191,215,245,-0.03598227724432945,-0.04673149436712265,40.70051956176758
2151,225,191,215,245,-0.03584976866841316,-0.046616096049547195,40.91947937011719
2152,225,191,214,245,-0.034447990357875824,-0.045495614409446716,41.276161193847656
2153,225,192,214,245,-0.038583170622587204,-0.044099316000938416,41.528690338134766
2154,225,192,214,245,-0.03939279168844223,-0.04267999902367592,41.916709899902344
2155,233,192,214,245,-0.039143968373537064,-0.04269397258758545,42.07267761230469
2156,233,192,212,242,-0.039637207984924316,-0.04287433996796608,42.28105545043945
2157,233,195,212,242,-0.04003794863820076,-0.042642198503017426,42.418212890625
2158,233,195,212,242,-0.03953593969345093,-0.04092712700366974,42.60466003417969
2159,237,195,212,242,-0.039830759167671204,-0.040342725813388824,42.745628356933594
2160,237,195,213,246,-0.04308062046766281,-0.03929266706109047,43.16278076171875
2161,237,198,213,246,-0.04359351098537445,-0.03899986669421196,43.45515441894531
2162,237,198,213,246,-0.044162213802337646,-0.03920328617095947,43.91986083984375
2163,240,198,213,246,-0.044417716562747955,-0.03926856815814972,44.23845672607422
